"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D5,D5";"LED-0603";2;"GREEN LED";;;
2;"D4,D4";"LED-0603";2;"BLUE LED";;;
3;"D3,D1,D1,D3";"LED-0603";4;"RED LED";;;
4;"R28,R29";"R_0603";2;"330";;;
5;"U4";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MC33171";;;
6;"U6";"LQFP-64_10x10mm_Pitch0.5mm";1;"pic32mx330f064h";;;
7;"SW1,SW2,SW1,SW2";"SW_SPST_PTS645";4;"SW_PUSH";;;
8;"P1,P1";"USB_Micro-B";2;"10118194-0001LF";;;
9;"BT1";"PINHEAD1-2";1;"CONN_01X02";;;
10;"C1,C3,C4,C5,C7,C12,C13,C21,C22";"C_1206";9;"4.7µF";;;
11;"C2,C6,C8,C10,C11,C16,C19,C20,C23,C29";"C_0603";10;"100nF";;;
12;"C9";"C_0805";1;"1µF";;;
13;"C14,C15,C17,C18,C24,C25,C26,C27,C28";"C_0603";9;"10nF";;;
14;"CON1";"microSD_std_top";1;"microSD";;;
15;"J1";"FPC39";1;"FPC39-P0P3";;;
16;"L1,L2";"NR4018_HandSoldering";2;"10µH";;;
17;"P2";"Pin_Header_Straight_1x05";1;"ICSP1";;;
18;"Q1";"SOT-23_IRLML6402";1;"3A";;;
19;"R1";"R_0603";1;"2k";;;
20;"R2,R8,R26";"R_0603";3;"470";;;
21;"R3,R5,R6,R7,R9,R13,R17,R18,R19,R27,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42";"R_0603";23;"10k";;;
22;"R4,R22,R23,R24,R25";"R_0603";5;"68k";;;
23;"R10";"R_0603";1;"160k";;;
24;"R11";"R_0603";1;"200k";;;
25;"R12,R15,R16";"R_0603";3;"12k";;;
26;"R14";"R_0603";1;"1k";;;
27;"R20,R21";"R_0603";2;"140k";;;
28;"RV1";"POT_SMD";1;"10k";;;
29;"TP1";"PINTST";1;"VCOM";;;
30;"TP2";"PINTST";1;"GND";;;
31;"TP3";"PINTST";1;"+22V";;;
32;"TP4";"PINTST";1;"-20V";;;
33;"TP5";"PINTST";1;"+15V";;;
34;"TP6";"PINTST";1;"-15V";;;
35;"U1";"SOT-23-5";1;"MCP73831T-2ACI/OT";;;
36;"U2";"28TSOP-I";1;"IS61LV256AL";;;
37;"U3";"SOT-23";1;"MCP1700T-3302E/TT";;;
38;"U5";"10DFN-3x3";1;"LT3463";;;
39;"U7";"8MSOP";1;"TPS7A49";;;
40;"U8";"8MSOP";1;"TPS7A30";;;
41;"U10";"SOT-363";1;"DMG1016UDW";;;
42;"MH1,MH2,MH3,MH4";"MountingHole_3mm";4;"M_HOLE";;;
43;"D2";"SOD-323-inv";1;"DIODESCH";;;
44;"U9";"RN-42";1;"RN-42";;;
